id;serie;popolo;nome;foto;video_rot;video_gim1;video_gim2;video_gim3;foto_ogg;nome_ogg;fronte_carta;retro_carta;descrizione;provenienza;collezione_standard;personaggio_posseduto;accessorio_posseduto;carta_posseduta
16;I Serie;Popolo del Mare;Medusantica;medusantica_s1_prova.png;;;;;;;medusantica_s1.png;retro_s1.png;MEDUSANTICA|Vive da sempre nelle oscure grotte dell’oceano. Silenziosa e solitaria, non le piace essere disturbata…|Se lo fai preparati… la potenza della sua magia ti entra nel cervello… mentre i suoi lunghi tentacoli arrivano dovunque, e soprattutto fanno molto molto male…|Il suo corpo a spirale può provocare veri e propri gorghi nelle acque, per trascinare sul fondo i nemici…;Bustina Giocheria|Blister;1;0;0;0
17;I Serie;Popolo del Mare;Martello;martello_s1_prova.png;;;;;;;martello_s1.png;retro_s1.png;MARTELLO IL PREDATORE|Velocissimo e agilissimo nelle acque, è anche molto pericoloso grazie alla sua pinna tagliente sulla testa.|Fuori dall’acqua si muove però goffamente e soprattutto non ha molte difese contro i nemici. Per questo si sposta sempre di notte.;Bustina Giocheria|Blister;1;0;0;0
18;I Serie;Popolo del Mare;Mantra;mantra_s1_prova.png;;;;;;;mantra_s1.png;retro_s1.png;MANTRA L’IMPLACABILE|Ahi, ahi… Mantra non ha amici, ed è temuta terribilmente dai nemici.|Pericolosa dentro e fuori dall’acqua. Tutte le pinne del suo corpo sono in realtà lame taglienti… la sua coda le protegge sempre le spalle e l’armatura a conchiglia la difende dai colpi degli avversari!|Assolutamente pericolosa!;Bustina Giocheria|Blister;1;0;0;0
19;I Serie;Popolo del Mare;Tenaglia;tenaglia_s1_prova.png;;;;;;;tenaglia_s1.png;retro_s1.png;TENAGLIA IL TERRIBILE|Non è veloce… ma non ti far prendere dalle sue tenaglie, altrimenti…|Difficile ferirlo, grazie a tutte le sue difese! Con la chela ti afferra e con gli artigli…| Beh, meglio non pensarci!;Bustina Giocheria|Blister;1;0;0;0
20;I Serie;Popolo del Mare;Grankios;grankios_s1_prova.png;;;;;;;grankios_s1.png;retro_s1.png;GRANKIOS IL VENDICATORE|Il più resistente del suo popolo, fuori dall’acqua. Lento ma con molta potenza difensiva.|Un vero segugio… sta nascosto, aspettando i suoi nemici per poi colpirli con le sue micidiali chele.;Bustina Giocheria|Blister;1;0;0;0
21;I Serie;Popolo del Mare;Delos;delos_s1_prova.png;;;;;;;delos_s1.png;retro_s1.png;DELOS IL CONTE DEI MARI|È chiamato “Il Conte dei Mari” per il suo portamento elegante. Dotato di tentacolo allungabile e di una chela distruttrice… il terzo occhio posto sulla fronte, oltre ad illuminare i fondali dell’oceano, gli consente di percepire e vedere i pensieri dei nemici e di sapere sempre in anticipo le mosse degli avversari!;Bustina Giocheria|Blister;1;0;0;0
22;I Serie;Popolo dell'Aria;Noctis;noctis_s1_prova.png;;;;;;;noctis_s1.png;retro_s1.png;NOCTIS, IL SIGNORE DEI CIELI|Dall’alto, nell’oscurità… spia, sorveglia e… attacca!|La leggenda narra che nemmeno la luna può sfuggire alla potenza della sua magia!;Bustina Giocheria|Blister;1;0;0;0
23;I Serie;Popolo dell'Aria;Magica Vedetta;magicavedetta_s1_prova.png;;;;;;;magicavedetta_s1.png;retro_s1.png;LA MAGICA VEDETTA|Niente le sfugge!|”… le sue antenne magiche vedono ciò che l’occhio non può scorgere!”|Velocissima sul volo breve, non può rimanere in volo per lungo tempo.;Bustina Giocheria|Blister;1;0;0;0
24;I Serie;Popolo dell'Aria;Pungolo;pungolo_s1_prova.png;;;;;;;pungolo_s1.png;retro_s1.png;PUNGOLO LO SFUGGENTE|Quando si lancia in picchiata, nessuna difesa può resistere al suo corno…|Rapidissimo nei movimenti… non chiedetegli di volare molto in alto…;Bustina Giocheria|Blister;1;0;0;0
25;I Serie;Popolo dell'Aria;Aquila Solitaria;aquilasolitaria_s1_prova.png;;;;;;;aquilasolitaria_s1.png;retro_s1.png;AQUILA SOLITARIA|Detto anche il Saggio dell’Aria. Mitica la sua memoria, fulminante il suo sguardo.|Parla poco, ma a volte i suoi artigli fanno ben capire i suoi pensieri…|Può volare per giorni interi!;Bustina Giocheria|Blister;1;0;0;0
26;I Serie;Popolo dell'Aria;Severo Guardiano;severoguardiano_s1_prova.png;;;;;;;severoguardiano_s1.png;retro_s1.png;Il SEVERO GUARDIANO|Niente può sfuggirgli… Implacabile, il suo becco emana onde sonore distruttive!|Fisico possente per ore di volo continuato… Inoltre, le sue ali sono affilate come lame…|”stiamo tutti buoni quando il guardiano è in volo…” dicono sempre gli abitanti del villaggio.;Bustina Giocheria|Blister;1;0;0;0
27;I Serie;Popolo dell'Aria;Alos;alos_s1_prova.png;;;;;;;alos_s1.png;retro_s1.png;ALO L’IPNOTIZZATORE|Detto “Il Mago dei Cieli”… I suoi occhi t’ipnotizzano, la magia delle sue antenne t’ammalia…|… i suoi artigli ti stritolano!|Vola sempre di notte quando i suoi poteri sono più forti… se lo vedi arrivare… attento non è un incubo… inizia a scappare!;Bustina Giocheria|Blister;1;0;0;0
28;I Serie;Popolo dell'Aria;Becco D'Acciaio;beccodacciaio_s1_prova.png;;;;;;;beccodacciaio_s1.png;retro_s1.png;BECCO D’ACCIAIO|Non è rapido, ma può stare in volo per giorni interi…|I suoi occhi arrivano a vedere ovunque…|Il suo becco non conosce scudo che non può resistergli!;Bustina Giocheria|Blister;1;0;0;0
29;I Serie;Popolo del Magma;Magmion;magmion_s1_prova.png;;;;;;;magmion_s1.png;retro_s1.png;MAGMION, IL SIGNORE DEL MALE|Potenza, magia e dimensioni ne fanno il capo indiscusso di Vulcano!|Al pronunciare il suo nome, persino le piante appassiscono…|Inavvicinabile, è sempre difeso dalla sua Magia Nera… Se ti scontri con lui, non andrai lontano: la lama del suo braccio e la sua coda di roccia… ti saranno fatali!;Bustina Giocheria|Blister;1;0;0;0
30;I Serie;Popolo del Magma;Electricon;electricon_s1_prova.png;;;;;;;electricon_s1.png;retro_s1.png;ELECTRICON|Nato dalle tempeste elettromagnetiche del Vulcano… dalle sue mani partono veri e propri fulmini…|Non provare mai ad attaccarlo da dietro…|Grazie alla posizione dei suoi occhi, vede a 360°!;Bustina Giocheria|Blister;1;0;0;0
31;I Serie;Popolo del Magma;Strappapensieri;strappapensieri_s1_prova.png;;;;;;;strappapensieri_s1.png;retro_s1.png;LO STRAPPAPENSIERI|Chi lo ha incontrato non sa se sia più atroce la sua Magia Telepatica che sembra schiacciarti il cervello oppure il dolore causato dai suoi artigli che affondano nella carne…;Bustina Giocheria|Blister;1;0;0;0
32;I Serie;Popolo del Magma;Maglio Infuocato;maglioinfuocato_s1_prova.png;;;;;;;maglioinfuocato_s1.png;retro_s1.png;MAGLIO INFUOCATO|Non può vivere più a Vulcano a causa di una lite con Magmion. La sua lontananza dal fuoco ha provocato il raffreddamento del suo corpo che si è trasformato in roccia… Ma non il suo pugno… che continua ad essere un palla di fuoco…;Bustina Giocheria|Blister;1;0;0;0
33;I Serie;Popolo del Magma;Insecticus;insecticus_s1_prova.png;;;;;;;insecticus_s1.png;retro_s1.png;INSECTICUS|Non provare a schiacciarlo… sarebbe l’ultima cosa che fai…|Corazza di roccia per difendersi, artigli ruotanti e lancia lapilli per distruggerti!;Bustina Giocheria|Blister;1;0;0;0
34;I Serie;Popolo del Magma;Aracno;aracno_s1_prova.png;;;;;;;aracno_s1.png;retro_s1.png;ARACNO IL CRUDELE|”…Per crudeltà è secondo solo a Magmion…” questo dice chi lo conosce (ed è sopravvissuto).|Piccolo ed esile può sgusciare ed arrampicarsi ovunque. Amico fidato di Magmion, sputa dalla sua bocca un acido che può fondere qualsiasi materiale.|La sua mente perversa può leggere il pensiero di qualsiasi essere vivente!;Bustina Giocheria|Blister;1;0;0;0
35;I Serie;Popolo del Magma;Guardiano Urlante;guardianourlante_s1_prova.png;;;;;;;guardianourlante_s1.png;retro_s1.png;IL GUARDIANO URLANTE|Nato nell’antichità, alcune parti del suo corpo si sono freddate… alle vecchie armi di fuoco che aveva originariamente ha sostituito lame, uncini e artigli di ferro!|Il suo terzo occhio gli permette di vedere a distanze impossibili, il suo grido di battaglia fa tremare la terra!;Bustina Giocheria|Blister;1;0;0;0
36;I Serie;Popolo della Lava;Lavion;lavion_s1_prova.png;;;;;;;lavion_s1.png;retro_s1.png;LAVION, SIGNORE DEL TERRORE|Terribile!… il suo braccio vive di vita propria… Spaventoso nella sua malvagità… anche le rocce s’inchinano a lui e tremano al suo passaggio…;Bustina Giocheria|Blister;1;0;0;0
37;I Serie;Popolo della Lava;Anonimo Multiforme;anonimomultiforme_s1_prova.png;;;;;;;anonimomultiforme_s1.png;retro_s1.png;L’ANONIMO MULTIFORME|Nessuno conosce le sue vere sembianze…|apparso dal niente e nel niente sembra sparire quando decide di trasformarsi…|Le sue “sfere elettromagnetiche” distruggono ogni forma di vita!;Bustina Giocheria|Blister;1;0;0;0
38;I Serie;Popolo della Lava;Mastodontico;mastodontico_s1_prova.png;;;;;;;mastodontico_s1.png;retro_s1.png;IL MASTODONTICO|Lento ma potentissimo…|”… a che servono armi speciali o magia, quando i tuoi pugni possono demolire il mondo?”;Bustina Giocheria|Blister;1;0;0;0
39;I Serie;Popolo della Lava;Sparafuoco;sparafuoco_s1_prova.png;;;;;;;sparafuoco_s1.png;retro_s1.png;SPARAFUOCO|Fisico liquido e lento nei movimenti. Le sue lingue di fuoco che escono dalle sue dita possono fondere qualsiasi materiale…|Il suo grande ed unico occhio t’ipnotizza… prima di polverizzarti!;Bustina Giocheria|Blister;1;0;0;0
40;I Serie;Popolo della Lava;Malvagius;malvagius_s1_prova.png;;;;;;;malvagius_s1.png;retro_s1.png;MALVAGIUS IL TERRIBILE|”… il fratello del Diavolo…”|…Così era chiamato un tempo…|Nessuno gli si avvicina, non ha né padroni né comandanti…|Figlio della malvagità, è sempre contornato da un’aurea di crudeltà e magia nera.;Bustina Giocheria|Blister;1;0;0;0
41;I Serie;Popolo della Lava;Lavor;lavor_s1_prova.png;;;;;;;lavor_s1.png;retro_s1.png;LAVOR IL POTENTE|Una vera e propria corazzata!|uno dei pochi del suo popolo a poter fronteggiare attacchi sia dalla terra che dal cielo, grazie ai dardi infuocati che spara dal braccio, dal collo e dalla testa…|”… avanti, fatti sotto che ti polverizzo!!!”;Bustina Giocheria|Blister;1;0;0;0
42;I Serie;Popolo della Lava;Angelo Infuocato;angeloinfuocato_s1_prova.png;;;;;;;angeloinfuocato_s1.png;retro_s1.png;L’ANGELO INFUOCATO|Un corpo fatto di liquida lava con due ali di fuoco…|La controffensiva del Popolo Lava agli attacchi dal cielo… Le sue mani si solidificano e diventano micidiali proiettili… una volta sparati… si rigenerano subito…;Bustina Giocheria|Blister;1;0;0;0
43;Mystica;Popolo della Terra;Gheos;gheos_mystica_prova.png;;;;;;;gheos_mystica.png;retro_s2.png;GHEOS, IL SIGNORE DELLA POTENZA|Il Primogenito… Lui “era” quando ancora niente esisteva!|Silenzioso, saggio e riservato.|La sua potenza è la più grande, il suo maglio devastante!;Bustina Edicola|Bustina Giocheria;1;0;0;0
44;Mystica;Popolo della Terra;Trematerra;trematerra_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;IL TREMATERRA|”…il suo pugno si abbatte come un terremoto…”|Così cantano le canzoni popolari!|Gentile e silenzioso… è meglio però non farlo arrabbiare…;Bustina Giocheria;1;0;0;0
45;Mystica;Popolo della Terra;Schienacciaio;schienacciaio_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;SCHIENACCIAIO|Il burlone del villaggio… Tenero con i cuccioli quanto implacabile col nemico!|Per difendersi si accuccia per terra diventando una vera e propria sfera d’acciaio (grazie alla sua schiena);Bustina Giocheria;1;0;0;0
46;Mystica;Popolo della Terra;Furia Cieca;furiacieca_mystica_prova.png;;;;;;;furiacieca_mystica.png;retro_s2.png;FURIA CIECA!I suoi occhi non vedono più… vive nell’oscurità…|Percepisce il mondo solo attraverso le sue antenne magiche che ha sulla testa. La sua rabbia distruttrice non conosce confini!;Bustina Edicola|Bustina Giocheria;1;0;0;0
47;Mystica;Popolo della Terra;Gravitus;gravitus_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;GRAVITUS IL FORTE|Quando era cucciolo voleva diventare come Gheos… Non c’è riuscito ma la sua forza è diventata leggenda!;Bustina Giocheria;1;0;0;0
48;Mystica;Popolo della Terra;Talps;talps_mystica_prova.png;;;;;;;talps_mystica.png;retro_s2.png;TALPS LO SCAVABUCHE|Quando combatti con lui, devi guardarti intorno… non sei mai al sicuro… Ricordati!|Guardati sempre alle spalle, perché Talps può apparire ovunque!;Bustina Edicola|Bustina Giocheria;1;0;0;0
49;Mystica;Popolo della Terra;Scovanascondigli;scovanascondigli_mystica_prova.png;;;;;;;scovanascondigli_mystica.png;retro_s2.png;LO SCOVANASCONDIGLI|Gli artigli non sono solo armi…Possono anche essere sensori…|Scappa! Nasconditi! Fuggi… non hai comunque nessuna speranza: lui ti scoverà ovunque!;Bustina Edicola|Bustina Giocheria;1;0;0;0
50;Mystica;Popolo della Foresta;Tasarau;tasarau_mystica_prova.png;;;;;;;tasarau_mystica.png;retro_s2.png;TASARAU, IL SIGNORE DELLA FORESTA|Secondo a GHEOS per età, ma non per saggezza!|Con le sue possenti braccia afferra..|Con i suoi artigli, distrugge…|Un gigante che non conosce ostacoli.|Si narra che “|…quando si alza il suo urlo lamentoso, i boschi tramano… E un lento frusciare si alza dai rami…”;Bustina Edicola|Bustina Giocheria;1;0;0;0
51;Mystica;Popolo della Foresta;Mimeticus;mimeticus_mystica_prova.png;;;;;;;mimeticus_mystica.png;retro_s2.png;MIMETICUS IL VELOCE|In pochi sono riusciti a vederlo… chi l’ha visto, difficilmente è sopravvissuto!|Veloce come il vento… corre emanando dalla testa delle spore magiche “oblianti”…|Se le respiri, perdi conoscenza e rimani fra le sue mani…;Bustina Edicola|Bustina Giocheria;1;0;0;0
52;Mystica;Popolo della Foresta;Saggio Distruttore;saggiodistruttore_mystica_prova.png;;;;;;;saggiodistruttore_mystica.png;retro_s2.png;IL SAGGIO DISTRUTTORE|”Antico come la vita sulla terra…”|questo dicono di lui.|Sa sempre la cosa giusta da fare… Pacifico e gioioso con i nuovi cuccioli del villaggio, di cui è il protettore.|Non toccate i piccoli altrimenti la sua furia diventa inimmaginabile!!! I suoi rami allungabili sono ancora forti e potenti nonostante l’età!;Bustina Edicola|Bustina Giocheria;1;0;0;0
53;Mystica;Popolo della Foresta;Florus;florus_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;FLORUS L’AVVELENATORE|Non è saggio incrociare la sua strada…|Praticamente privo di difese, vive nascosto nella vegetazione per poi attaccare i suoi nemici con le spore velenose alle quali non c’è scampo o cura!|Solitamente si nasconde fra i fiori e colpisce senza essere visto!;Bustina Giocheria;1;0;0;0
54;Mystica;Popolo della Foresta;Frusta Letale;frustaletale_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;FRUSTA LETALE|È considerato a ragione uno dei più pericolosi di questo popolo.|Le sue piccole dimensioni nascondono una grande potenza!| Agile e velocissimo, con la sua mano allungabile t’imprigiona, mentre con la frusta… colpisce, distrugge, massacra…|”Nelle piccole cose vive una grande potenza…”|dicono parlando di lui.;Bustina Giocheria;1;0;0;0
55;Mystica;Popolo della Foresta;Strapparami;strapparami_mystica_prova.png;;;;;;;strapparami_mystica.png;retro_s2.png;STRAPPARAMI IL FURIOSO|Le sue braccia allungabili arrivano ovunque…afferrano qualsiasi cosa… stritolano tutto!!!|Particolarmente agile nella boscaglia, tutti i suoi arti possono allungarsi per molti metri, inseguendo i suoi nemici fra i rami, acciuffandoti e poi… Beh, facile da immaginare!;Bustina Edicola|Bustina Giocheria;1;0;0;0
56;Mystica;Popolo della Foresta;Picchiatore;picchiatore_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;IL PICCHIATORE|Si nasconde sugli alberi lasciandosi cadere giù… chi se lo è visto arrivare addosso, difficilmente può raccontarlo usando la propria bocca…! Tantissima potenza in un corpo di legno duro come l’acciaio!;Bustina Giocheria;1;0;0;0
57;Mystica;Popolo del Mare;Poivrons;poivrons_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;POIVRONS, IL SIGNORE DEL MARE|Molto suscettibile e permaloso…|I tentacoli della sua testa possono arrivare dovunque e soprattutto stritolare di tutto!|Se lo vedi inizia a correre… e soprattutto, corri veloce!;Bustina Giocheria;1;0;0;0
58;Mystica;Popolo del Mare;Medusantica;medusantica_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;MEDUSANTICA|Vive da sempre nelle oscure grotte dell’oceano. Silenziosa e solitaria, non le piace essere disturbata…|Se lo fai preparati… la potenza della sua magia ti entra nel cervello… mentre i suoi lunghi tentacoli arrivano dovunque, e soprattutto fanno molto molto male…|Il suo corpo a spirale può provocare veri e propri gorghi nelle acque, per trascinare sul fondo i nemici…;Bustina Giocheria;1;0;0;0
59;Mystica;Popolo del Mare;Martello;martello_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;MARTELLO IL PREDATORE|Velocissimo e agilissimo nelle acque, è anche molto pericoloso grazie alla sua pinna tagliente sulla testa.|Fuori dall’acqua si muove però goffamente e soprattutto non ha molte difese contro i nemici. Per questo si sposta sempre di notte.;Bustina Giocheria;1;0;0;0
60;Mystica;Popolo del Mare;Mantra;mantra_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;MANTRA L’IMPLACABILE|Ahi, ahi… Mantra non ha amici, ed è temuta terribilmente dai nemici.|Pericolosa dentro e fuori dall’acqua. Tutte le pinne del suo corpo sono in realtà lame taglienti… la sua coda le protegge sempre le spalle e l’armatura a conchiglia la difende dai colpi degli avversari!|Assolutamente pericolosa!;Bustina Giocheria;1;0;0;0
61;Mystica;Popolo del Mare;Tenaglia;tenaglia_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;TENAGLIA IL TERRIBILE|Non è veloce… ma non ti far prendere dalle sue tenaglie, altrimenti…|Difficile ferirlo, grazie a tutte le sue difese! Con la chela ti afferra e con gli artigli…| Beh, meglio non pensarci!;Bustina Giocheria;1;0;0;0
62;Mystica;Popolo del Mare;Grankios;grankios_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;GRANKIOS IL VENDICATORE|Il più resistente del suo popolo, fuori dall’acqua. Lento ma con molta potenza difensiva.|Un vero segugio… sta nascosto, aspettando i suoi nemici per poi colpirli con le sue micidiali chele.;Bustina Giocheria;1;0;0;0
63;Mystica;Popolo del Mare;Delos;delos_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;DELOS IL CONTE DEI MARI|È chiamato “Il Conte dei Mari” per il suo portamento elegante. Dotato di tentacolo allungabile e di una chela distruttrice… il terzo occhio posto sulla fronte, oltre ad illuminare i fondali dell’oceano, gli consente di percepire e vedere i pensieri dei nemici e di sapere sempre in anticipo le mosse degli avversari!;Bustina Giocheria;1;0;0;0
64;Mystica;Popolo dell'Aria;Noctis;noctis_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;NOCTIS, IL SIGNORE DEI CIELI|Dall’alto, nell’oscurità… spia, sorveglia e… attacca!|La leggenda narra che nemmeno la luna può sfuggire alla potenza della sua magia!;Bustina Giocheria;1;0;0;0
65;Mystica;Popolo dell'Aria;Magica Vedetta;magicavedetta_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;LA MAGICA VEDETTA|Niente le sfugge!|”… le sue antenne magiche vedono ciò che l’occhio non può scorgere!”|Velocissima sul volo breve, non può rimanere in volo per lungo tempo.;Bustina Giocheria;1;0;0;0
66;Mystica;Popolo dell'Aria;Pungolo;pungolo_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;PUNGOLO LO SFUGGENTE|Quando si lancia in picchiata, nessuna difesa può resistere al suo corno…|Rapidissimo nei movimenti… non chiedetegli di volare molto in alto…;Bustina Giocheria;1;0;0;0
67;Mystica;Popolo dell'Aria;Aquila Solitaria;aquilasolitaria_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;AQUILA SOLITARIA|Detto anche il Saggio dell’Aria. Mitica la sua memoria, fulminante il suo sguardo.|Parla poco, ma a volte i suoi artigli fanno ben capire i suoi pensieri…|Può volare per giorni interi!;Bustina Giocheria;1;0;0;0
68;Mystica;Popolo dell'Aria;Severo Guardiano;severoguardiano_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;Il SEVERO GUARDIANO|Niente può sfuggirgli… Implacabile, il suo becco emana onde sonore distruttive!|Fisico possente per ore di volo continuato… Inoltre, le sue ali sono affilate come lame…|”stiamo tutti buoni quando il guardiano è in volo…” dicono sempre gli abitanti del villaggio.;Bustina Giocheria;1;0;0;0
69;Mystica;Popolo dell'Aria;Alos;alos_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;ALO L’IPNOTIZZATORE|Detto “Il Mago dei Cieli”… I suoi occhi t’ipnotizzano, la magia delle sue antenne t’ammalia…|… i suoi artigli ti stritolano!|Vola sempre di notte quando i suoi poteri sono più forti… se lo vedi arrivare… attento non è un incubo… inizia a scappare!;Bustina Giocheria;1;0;0;0
70;Mystica;Popolo dell'Aria;Becco D'Acciaio;beccodacciaio_mystica_prova.png;;;;;;;placeholder.jpg;retro_s2.png;BECCO D’ACCIAIO|Non è rapido, ma può stare in volo per giorni interi…|I suoi occhi arrivano a vedere ovunque…|Il suo becco non conosce scudo che non può resistergli!;Bustina Giocheria;1;0;0;0
